Date,Product,Category,Quantity,UnitPrice,Total
2023-01-01,Semillas de Maíz,Insumos,10,150.00,1500.00
2023-01-02,Fertilizante Nitrogenado,Químicos,5,250.00,1250.00
2023-01-03,Herbicida Selectivo,Químicos,2,400.00,800.00
2023-01-04,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-01-05,Semillas de Soja,Insumos,20,120.00,2400.00
2023-01-06,Fungicida sistémico,Químicos,8,180.00,1440.00
2023-01-07,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-01-08,Sensores de Humedad,Tecnología,4,300.00,1200.00
2023-01-09,Bolsas de Almacenaje,Empaque,50,15.00,750.00
2023-01-10,Analísis de Suelo,Servicios,2,1200.00,2400.00
2023-01-11,Semillas de Maíz,Insumos,12,150.00,1800.00
2023-01-12,Fertilizante Nitrogenado,Químicos,3,250.00,750.00
2023-01-13,Herbicida Selectivo,Químicos,5,400.00,2000.00
2023-01-14,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-01-15,Semillas de Soja,Insumos,15,120.00,1800.00
2023-01-16,Fungicida sistémico,Químicos,10,180.00,1800.00
2023-01-17,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-01-18,Sensores de Humedad,Tecnología,2,300.00,600.00
2023-01-19,Bolsas de Almacenaje,Empaque,100,15.00,1500.00
2023-01-20,Analísis de Suelo,Servicios,1,1200.00,1200.00
2023-01-21,Semillas de Maíz,Insumos,8,150.00,1200.00
2023-01-22,Fertilizante Nitrogenado,Químicos,7,250.00,1750.00
2023-01-23,Herbicida Selectivo,Químicos,1,400.00,400.00
2023-01-24,Sistema de Riego Goteo,Equipamiento,2,5000.00,10000.00
2023-01-25,Semillas de Soja,Insumos,25,120.00,3000.00
2023-01-26,Fungicida sistémico,Químicos,5,180.00,900.00
2023-01-27,Tractor Mantenimiento,Servicios,2,3500.00,7000.00
2023-01-28,Sensores de Humedad,Tecnología,6,300.00,1800.00
2023-01-29,Bolsas de Almacenaje,Empaque,30,15.00,450.00
2023-01-30,Analísis de Suelo,Servicios,3,1200.00,3600.00
2023-02-01,Semillas de Maíz,Insumos,14,150.00,2100.00
2023-02-02,Fertilizante Nitrogenado,Químicos,4,250.00,1000.00
2023-02-03,Herbicida Selectivo,Químicos,3,400.00,1200.00
2023-02-04,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-02-05,Semillas de Soja,Insumos,18,120.00,2160.00
2023-02-06,Fungicida sistémico,Químicos,7,180.00,1260.00
2023-02-07,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-02-08,Sensores de Humedad,Tecnología,5,300.00,1500.00
2023-02-09,Bolsas de Almacenaje,Empaque,80,15.00,1200.00
2023-02-10,Analísis de Suelo,Servicios,2,1200.00,2400.00
2023-02-11,Semillas de Maíz,Insumos,11,150.00,1650.00
2023-02-12,Fertilizante Nitrogenado,Químicos,6,250.00,1500.00
2023-02-13,Herbicida Selectivo,Químicos,4,400.00,1600.00
2023-02-14,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-02-15,Semillas de Soja,Insumos,22,120.00,2640.00
2023-02-16,Fungicida sistémico,Químicos,9,180.00,1620.00
2023-02-17,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-02-18,Sensores de Humedad,Tecnología,3,300.00,900.00
2023-02-19,Bolsas de Almacenaje,Empaque,120,15.00,1800.00
2023-02-20,Analísis de Suelo,Servicios,1,1200.00,1200.00
2023-02-21,Semillas de Maíz,Insumos,9,150.00,1350.00
2023-02-22,Fertilizante Nitrogenado,Químicos,8,250.00,2000.00
2023-02-23,Herbicida Selectivo,Químicos,2,400.00,800.00
2023-02-24,Sistema de Riego Goteo,Equipamiento,1,5000.00,5000.00
2023-02-25,Semillas de Soja,Insumos,30,120.00,3600.00
2023-02-26,Fungicida sistémico,Químicos,6,180.00,1080.00
2023-02-27,Tractor Mantenimiento,Servicios,1,3500.00,3500.00
2023-02-28,Sensores de Humedad,Tecnología,4,300.00,1200.00
